441 , Zaragoza , 1-1 , Athletic Bilbao
442 , Zaragoza , 2-3 , Atlético Madrid
443 , Zaragoza , 3-5 , FC Barcelona
444 , Zaragoza , 2-2 , Betis
445 , Zaragoza , 1-1 , Celta de Vigo
446 , Zaragoza , 1-3 , SD Compostela
447 , Zaragoza , 1-2 , Deportivo de La Coruna
448 , Zaragoza , 1-0 , RCD Espanyol
449 , Zaragoza , 3-1 , CF Extremadura
450 , Zaragoza , 2-0 , Hércules CF
451 , Zaragoza , 2-2 , CD Logroñés
452 , Zaragoza , 0-2 , Racing de Santander
453 , Zaragoza , 3-2 , Rayo Vallecano
454 , Zaragoza , 1-2 , Real Madrid
455 , Zaragoza , 1-0 , Real Oviedo
456 , Zaragoza , 3-0 , Real Sociedad
457 , Zaragoza , 2-1 , Sevilla FC
458 , Zaragoza , 5-0 , Sporting de Gijón
459 , Zaragoza , 1-1 , CD Tenerife
460 , Zaragoza , 1-1 , Valencia CF
461 , Zaragoza , 1-0 , Valladolid
shortNames:,,ATH,ATM,BAR,BET,CEL,COM,DEP,ESP,EXT,HÉR,LOG,RAC,RVA,RMA,ROV,RSO,SEV,SPG,TEN,VAL,VLD,ZAR
fullNames:,,Athletic Bilbao,Atlético Madrid,FC Barcelona,Betis,Celta de Vigo,SD Compostela,Deportivo de La Coruna,RCD Espanyol,CF Extremadura,Hércules CF,CD Logroñés,Racing de Santander,Rayo Vallecano,Real Madrid,Real Oviedo,Real Sociedad,Sevilla FC,Sporting de Gijón,CD Tenerife,Valencia CF,Valladolid,Zaragoza
